날짜,마늘가격,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,마늘거래량,마늘생산량,마늘저장이월량,마늘수입량,마늘수입금액,마늘재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
2014-01-02,1765.124206,0,0,2.6,9.1,-2.2,49,10,1.6,9.3,38.565,353760,0,52810,30417,25062,2201.07,1887.56,1706.27,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-03,3530.248412,0,0,2.6,10.1,-3.2,54,12,1.2,9.6,77.13,353760,0,52810,30417,25062,2200.04,1888.51,1707.15,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-04,2409.531445,1.2,31,1.5,6.9,-2.8,63,12,1.7,11.9,17.65,353760,0,52810,30417,25062,2199.92,1888.98,1707.61,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-05,2615.858998,0.1,30.2,0.7,6.6,-3.7,62,9,1.6,10.1,20.35,353760,0,52810,30417,25062,2199,1889.11,1707.56,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-06,2822.186551,0,11,0.2,7.6,-5.1,59,12,1.1,7.7,23.05,353760,0,52810,30417,25062,2200.38,1889.14,1707.8,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-07,2354.123386,0,1.5,1.9,7.8,-4.3,60,16,1.1,8,14.25,353760,0,52810,30417,25062,2200.69,1889.15,1707.73,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-08,2408.945798,1.8,41.3,2.1,5.3,-1.4,65,25,2.4,17.7,15.76,353760,0,52810,30417,25062,2200.98,1889.16,1707.7,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-09,2721.581866,0,31.7,-4.4,-0.6,-8.1,34,9,3.6,22.3,22.72,353760,0,52810,30417,25062,2201.02,1889.13,1707.6,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-10,2163.589492,0,1.4,-3.7,2,-9.6,56,10,1.8,12,29.5,353760,0,52810,30417,25062,2201.38,1888.66,1707.37,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-11,2253.697709,0,0.2,-0.8,4.4,-5.5,58,14,1.6,12,12.05,353760,0,52810,30417,25062,2202.06,1888.51,1707.28,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-12,2087.503908,0,6.4,-0.4,5.3,-5.1,56,14,2.3,15.3,19.73,353760,0,52810,30417,25062,2201.89,1888.39,1707.11,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-13,1921.310106,0,20.7,-3.9,1.5,-8.4,38,8,2.3,13.3,27.41,353760,0,52810,30417,25062,2201.17,1888.27,1707.12,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-14,2111.815203,0,1.1,-3.4,3.4,-9.3,43,10,1.8,11.6,15.26,353760,0,52810,30417,25062,2198.59,1887.64,1706.65,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-15,2746.818811,0,1,-2.3,4.3,-8.1,50,12,1.8,10.6,21.69,353760,0,52810,30417,25062,2196.99,1887.23,1706.31,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-16,2273.507923,0,0.5,-0.9,5.2,-6.6,62,18,1.5,9.2,11.99,353760,0,52810,30417,25062,2196.88,1886.88,1705.98,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-17,1621.720721,0,20.4,-0.1,5.9,-5,64,17,1.2,9.5,28.86,353760,0,52810,30417,25062,2196.73,1886.39,1705.56,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-18,2274.944209,0,9.1,-0.6,3.9,-4.6,53,16,2.9,18.1,14.16,353760,0,52810,30417,25062,2196.89,1886.06,1705.11,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-19,2212.842287,0,1.5,-1.7,4.6,-8.3,49,8,1.4,13.6,25.375,353760,0,52810,30417,25062,2197.16,1885.83,1704.69,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-20,2150.740366,1.5,9,1,5.5,-2.2,69,18,2.4,19.1,36.59,353760,0,52810,30417,25062,2196.39,1885.54,1704.51,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-21,2263.127269,1.4,31.2,-2.9,-0.1,-5.5,66,26,3,21.4,31.95,353760,0,52810,30417,25062,2195.7,1885.24,1704.06,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-22,2355.274786,0,0,-2.7,3.4,-8,60,11,2,15.7,27.11,353760,0,52810,30417,25062,2195.18,1884.91,1703.67,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-23,2305,0,0.1,-1,7.1,-7.5,62,12,1.3,10.8,14.34,353760,0,52810,30417,25062,2195.24,1884.54,1703.47,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
